project,family,scientific_name,collector,collection_number,month_collected,day_collected,year_collected,state,county,locality,minimum_elevation,elevation_unit,lat_degrees,n_or_s, lon_degrees,w_or_e,geodetic_datum,coordinate_source,site_description,specimen_notes,specimen_verifier,lat_deg_min_sec,long_deg_min_sec
Flora of Chugach State Park,Onagraceae,Epilobium anagallidifolium,Aaron F. Wells,AFW2021_064,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1000,m,61.2006,N,-149.35172,W,wgs84,iPhone 11,Alpine meadow at the foot of a terminal moraine,,Aaron F. Wells,,
Flora of Chugach State Park,Juncaceae,Juncus drummondii,Aaron F. Wells,AFW2021_065,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1000,m,61.2006,N,-149.35172,W,wgs84,iPhone 11,Alpine meadow at the foot of a terminal moraine,,Aaron F. Wells,,
Flora of Chugach State Park,Hylocomiaceae,Rhytidiadelphus squarrosus,Aaron F. Wells,AFW2021_066,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1000,m,61.2006,N,-149.35172,W,wgs84,iPhone 11,Alpine meadow at the foot of a terminal moraine,,David Kofranek,,
Flora of Chugach State Park,Plantaginaceae,Veronica wormskjoldii,Aaron F. Wells,AFW2021_067,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1000,m,61.2006,N,-149.35172,W,wgs84,iPhone 11,Alpine meadow at the foot of a terminal moraine,,Aaron F. Wells,,
Flora of Chugach State Park,Calliergonaceae,Calliergon richardsonii,Aaron F. Wells,AFW2021_068,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1049,m,61.19979,N,-149.36241,W,wgs84,iPhone 11,Wet margin of alpine lake,,David Kofranek,,
Flora of Chugach State Park,Cyperaceae,Carex nigricans,Aaron F. Wells,AFW2021_069,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1049,m,61.19979,N,-149.36241,W,wgs84,iPhone 11,Wet margin of alpine lake,,Aaron F. Wells,,
Flora of Chugach State Park,Salicaceae,Salix commutata,Aaron F. Wells,AFW2021_070,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1049,m,61.19979,N,-149.36241,W,wgs84,iPhone 11,Wet margin of alpine lake,,Aaron F. Wells,,
Flora of Chugach State Park,Sphagnaceae,Sphagnum girgensohnii,Aaron F. Wells,AFW2021_071,8,14,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1049,m,61.19979,N,-149.36241,W,wgs84,iPhone 11,Wet margin of alpine lake,,David Kofranek,,
Flora of Chugach State Park,Asteraceae,Erigeron peregrinus,Aaron F. Wells,AFW2021_072,8,15,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",1109,m,61.20681,N,-149.35406,W,wgs84,iPhone 11,"Alpine meadow on a south-facing mountain slope. With Aconitum delphinifolium, Veratrum viride, and Castilleja caudata",,Aaron F. Wells,,
Flora of Chugach State Park,Sphagnaceae,Sphagnum girgensohnii,Aaron F. Wells,AFW2021_073,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1311,m,61.20484,N,-149.33759,W,wgs84,iPhone 11,"Exposed alpine mountain slope, seasonal snow melt rivulet","Determined by Jon Shaw & Karn Imwattana (DUKE grad student of Jon Shaw's): ""Jon and I have looked at the samples and we both think that your samples are S. warnstorfii [Sp. #2] and S. girgensohnii [sp. #1]. The S. girgensohnii sample has the characteristic stem leaf shape (with broad lacerate apex), stem cortex also has pore in every cells. In S. russowii, the lacerate region of the stem leaf apex should be smaller, and stem cortex should have pore only in some of the cells, not ever cell. In my genetic dataset I also have a sample of S. girgensohnii that looks exactly like your sample (compact and densely branched).""  Unusual specimen both microscopically but especially macroscopically. Compact, densly branched form from exposed site?",Jon Shaw & Karn Imwattana,,
Flora of Chugach State Park,Asteraceae,Erigeron humilis,Aaron F. Wells,AFW2021_074,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1439,m,61.20798,N,-149.33147,W,wgs84,iPhone 11,"Alpine mountain slope, west facing aspect, partially vegetated",,Aaron F. Wells,,
Flora of Chugach State Park,Boraginaceae,Myosotis alpestris ssp. Asiatica,Aaron F. Wells,AFW2021_075,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1439,m,61.20798,N,-149.33147,W,wgs84,iPhone 11,"Alpine mountain slope, west facing aspect, partially vegetated",,Aaron F. Wells,,
Flora of Chugach State Park,Cyperaceae,Carex microchaeta,Aaron F. Wells,AFW2021_076,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1451,m,61.20097,N,-149.33398,W,wgs84,iPhone 11,"Alpine ridge line, soils dry and rocky",,Aaron F. Wells,,
Flora of Chugach State Park,Montiaceae,Claytonia sarmentosa,Aaron F. Wells,AFW2021_077,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1446,m,61.19942,N,-149.3342,W,wgs84,iPhone 11,"Alpine ridge line, soils moist and rocky, partially vegetated area on west side of ridge",,Aaron F. Wells,,
Flora of Chugach State Park,Ranunculaceae,Ranunculus nivalis,Aaron F. Wells,AFW2021_078,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1446,m,61.19942,N,-149.3342,W,wgs84,iPhone 11,"Alpine ridge line, soils moist and rocky, partially vegetated area on west side of ridge",,Aaron F. Wells,,
Flora of Chugach State Park,Ranunculaceae,Ranunculus pygmaeus ssp. Pygmaeus,Aaron F. Wells,AFW2021_079,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1446,m,61.19942,N,-149.3342,W,wgs84,iPhone 11,"Alpine ridge line, soils moist and rocky, partially vegetated area on west side of ridge",,Aaron F. Wells,,
Flora of Chugach State Park,Saxifragaceae,Saxifraga hyperborea,Aaron F. Wells,AFW2021_080,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1446,m,61.19942,N,-149.3342,W,wgs84,iPhone 11,"Alpine ridge line, soils moist and rocky, partially vegetated area on west side of ridge",,Aaron F. Wells,,
Flora of Chugach State Park,Cyperaceae,Carex lachenalii,Aaron F. Wells,AFW2021_081,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1341,m,61.20832,N,-149.34131,W,wgs84,iPhone 11,Alpine spring ,,Aaron F. Wells,,
Flora of Chugach State Park,Poaceae,Poa pratensis ssp. Colpodea,Aaron F. Wells,AFW2021_082,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1341,m,61.20832,N,-149.34131,W,wgs84,iPhone 11,Alpine spring ,,Aaron F. Wells,,
Flora of Chugach State Park,Saxifragaceae,Saxifraga lyallii ssp. Hultenii,Aaron F. Wells,AFW2021_083,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1341,m,61.20832,N,-149.34131,W,wgs84,iPhone 11,Alpine spring ,,Aaron F. Wells,,
Flora of Chugach State Park,Parmeliaceae,Asahinea chrysantha,Aaron F. Wells,AFW2021_084,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1341,m,61.20804,N,-149.33936,W,wgs84,iPhone 11,"Alpine tundra, dry, Dryas dwarf shrub tundra",,David Kofranek,,
Flora of Chugach State Park,Salicaceae,Salix barclayi,Aaron F. Wells,AFW2021_085,8,15,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",978,m,61.2049,N,-149.35654,W,wgs84,iPhone 11,"Alpine/subalpine interface; small groups of low willow growing in a large meadow, soils moist",,Aaron F. Wells,,
Flora of Chugach State Park,Juncaceae,Luzula arcuata ssp. Unalaschkensis,Aaron F. Wells,AFW2021_086,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1325,m,61.20597,N,-149.34059,W,wgs84,iPhone 11,Late snowbank gully on an alpine mountain slope,,Aaron F. Wells,,
Flora of Chugach State Park,Poaceae,Poa pratensis ssp. Alpigena,Aaron F. Wells,AFW2021_087,8,15,2021,Alaska,Anchorage,"Mountain slopes between Eagle River and Southfork Eagle River, Chugach State Park, AK",1325,m,61.20597,N,-149.34059,W,wgs84,iPhone 11,Late snowbank gully on an alpine mountain slope,,Aaron F. Wells,,
Flora of Chugach State Park,Jungermanniaceae,Jungermannia eucordifolia,Aaron F. Wells,AFW2021_088,8,16,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",957,m,61.20373,N,-149.36069,W,wgs84,iPhone 11,Growing in a clump completely submerged in an alpine stream attached to rocks,,David Kofranek,,
Flora of Chugach State Park,Parmeliaceae,Alectoria ochroleuca,Aaron F. Wells,AFW2021_089,8,16,2021,Alaska,Anchorage,"Hanging valley above Southfork Eagle River, Chugach State Park, AK",951,m,61.20371,N,-149.36093,W,wgs84,iPhone 11,"Moist dwarf Ericaceous-Lichen tundra, Alpine, drumlin, with Vaccinium uliginosum and Empetrum nigrum",,Aaron F. Wells,,
