OBJECTID,gbifID,accessRights,bibliographicCitation,identifier,language,license,modified,references,rights,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,reproductiveCondition,occurrenceStatus,preparations,disposition,associatedReferences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,previousIdentifications,materialSampleID,eventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinateSystem,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identificationQualifier,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,higherClassification,kingdom,phylum,class,taxonomic_order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,protocol,lastParsed,lastCrawled,repatriated,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,scientificName,iucnRedListCategory
1,3705385405,,,84475219,,CC_BY_NC_4_0,2022-03-06T17:56:51Z,https://www.inaturalist.org/observations/84475219,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/84475219,84475219,,billsherwonit,,flowering,PRESENT,,,,,,,,,,,,2021-06-25 13:37:29,21:37:29Z,,,2021,6,25,Fri Jun 25 2021 13:37:29 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.130228,-149.643308,10,,,,,,,,223989395,,Glenn Brown,2021-12-02 5:10:17,,,68049,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,uva-ursi,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:04.283Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2882580,2882580,6,7707728,220,1353,2505,2882486,2882580,Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,DWC_ARCHIVE,2022-03-15T18:43:04.283Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Arctostaphylos uva-ursi (L.) Spreng.,NE
3,3698235485,,,97185152,,CC_BY_NC_4_0,2022-02-28T16:27:39Z,https://www.inaturalist.org/observations/97185152,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/97185152,97185152,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-10-04 13:36:06,21:36:06Z,,,2021,10,4,Mon Oct 04 2021 13:36:06 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.005212,-149.655829,5,,,,,,,,224312581,,Glenn Brown,2021-12-04 4:36:26,,"The blades are dull green and thick, and the lower pinnae are not shorter than the middle pinnae.",122090,,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,ilvensis,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:03:17.572Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5275075,5275075,6,7707728,7228684,392,3229365,2651007,5275075,Woodsia ilvensis,Woodsia,Woodsia ilvensis (L.) R.Br.,Woodsia ilvensis,DWC_ARCHIVE,2022-03-15T19:03:17.572Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Woodsia ilvensis (L.) R.Br.,NE
5,3698127497,,,98087394,,CC_BY_NC_4_0,2022-02-25T15:12:04Z,https://www.inaturalist.org/observations/98087394,,C.S.Yampae,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/98087394,98087394,,C.S.Yampae,,,PRESENT,,,,,,,,,,,,2021-10-12 15:25:00,15:25:00Z,,,2021,10,12,2021/10/12 3:25 PM UTC,,,,US,Alaska,,,,"Anchorage, AK, USA",,,,,61.14936,-149.713332,10,,,,,,,,226653434,,C.S.Yampae,2021-12-18 2:28:04,,,227386,,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,extenuata,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:57:38.976Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,7636212,7636212,5,95,180,1055,8373,2601137,7636212,Peltigera extenuata,Peltigera,Peltigera extenuata (Nyl. ex Vain.) Lojka,Peltigera extenuata,DWC_ARCHIVE,2022-03-15T18:57:38.976Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Peltigera extenuata (Nyl. ex Vain.) Lojka,NE
8,3499360540,,,106591566,,CC_BY_NC_4_0,2022-02-12T06:27:19Z,https://www.inaturalist.org/observations/106591566,,C.S.Yampae,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/106591566,106591566,,C.S.Yampae,,,PRESENT,,,,,,,,,,,,2021-09-12 18:08:00,18:08:00Z,,,2021,9,12,2021/09/12 6:08 PM UTC,,,,US,Alaska,,,,"Anchorage, AK, USA",,,,,61.14381,-149.700585,21,,,,,,,,236625072,,C.S.Yampae,2022-02-12 6:00:31,,,119695,,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila,ericetorum,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:00:14.171Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2600369,2600369,5,95,180,1051,8372,2600368,2600369,Icmadophila ericetorum,Icmadophila,Icmadophila ericetorum (L.) Zahlbr.,Icmadophila ericetorum,DWC_ARCHIVE,2022-03-15T19:00:14.171Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Icmadophila ericetorum (L.) Zahlbr.,NE
10,3466367654,,,95629514,,CC_BY_NC_4_0,2022-01-28T16:39:31Z,https://www.inaturalist.org/observations/95629514,,Glenn Brown,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/95629514,95629514,,Glenn Brown,,,PRESENT,,,,,,,,,,,,2021-08-29 12:31:00,20:31:00Z,,,2021,8,29,2021/08/29 12:31 PM AKDT,,,,US,Alaska,,,,"Anchorage, AK, USA",,,,,61.011363,-149.56777,,,,,,,,,208504891,,Glenn Brown,2021-09-21 5:36:41,,,234444,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,arctica,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:34.964Z,,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK,StillImage,TRUE,FALSE,7461679,7461679,6,7707728,220,414,3065,3120641,7461679,Artemisia arctica,Artemisia,Artemisia arctica (Besser) Leonova,Artemisia arctica arctica,DWC_ARCHIVE,2022-03-15T18:43:34.964Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Artemisia arctica (Besser) Leonova,NE
11,3466241794,,,105340299,,CC_BY_NC_4_0,2022-01-24T06:40:13Z,https://www.inaturalist.org/observations/105340299,,Tony Palmer,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/105340299,105340299,,Tony Palmer,,,PRESENT,,,,,,,,,,,,2022-01-21 10:48:25,19:48:25Z,,,2022,1,21,Fri Jan 21 2022 10:48:25 GMT-0900 (AKST),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,60.932503,-149.322388,4,,,,,,,,232924031,,Jon Reberlio,2022-01-22 16:52:15,,,532267,,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,elegans,,SPECIES,,,,SYNONYM,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:00:22.303Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,3431565,2609967,5,95,180,1050,8368,2609958,2609967,Xanthoria elegans,Rusavskia,Xanthoria elegans (Link) Th.Fr.,Rusavskia elegans,DWC_ARCHIVE,2022-03-15T19:00:22.303Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Rusavskia elegans (Link) S.Y.Kondr. & Kärnefelt,NE
12,3466226778,,,93294588,,CC_BY_NC_4_0,2022-02-05T05:47:43Z,https://www.inaturalist.org/observations/93294588,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/93294588,93294588,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-09-01 12:22:37,20:22:37Z,,,2021,9,1,Wed Sep 01 2021 12:22:37 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.144426,-149.665096,5,,,,,,,,203779880,,billsherwonit,2021-09-01 20:22:46,,,159228,,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,nana,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:49.580Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5332004,5332004,6,7707728,220,1354,4688,2875008,5332004,Betula nana,Betula,Betula nana L.,Betula nana,DWC_ARCHIVE,2022-03-15T18:43:49.580Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Betula nana L.,LC
13,3466145749,,,93854217,,CC_BY_NC_4_0,2022-02-05T05:44:32Z,https://www.inaturalist.org/observations/93854217,,outdoorexploring,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/93854217,93854217,,outdoorexploring,,,PRESENT,,,,,,,,,,,,2021-08-29 20:36:20,00:36:20Z,,,2021,8,29,Sun Aug 29 2021 20:36:20 GMT-0400 (EDT),,,,US,Alaska,,,,"Anchorage County, US-AK, US",,,,,61.335986,-149.492636,3,,,,,,,,221414494,,M. Goff,2021-11-18 8:33:26,,"Multiple plant species in the photo, and this is one that is identifiable",76812,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,nigrum,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:07.498Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,8925249,8925249,6,7707728,220,1353,2505,2888367,8925249,Empetrum nigrum,Empetrum,Empetrum nigrum L.,Empetrum nigrum,DWC_ARCHIVE,2022-03-15T18:43:07.498Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Empetrum nigrum L.,NE
19,3457177298,,,104992358,,CC_BY_NC_4_0,2022-01-22T17:13:29Z,https://www.inaturalist.org/observations/104992358,,Katharine Andre,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/104992358,104992358,,Katharine Andre,,,PRESENT,,,,,,,,,,,,2021-07-31 10:16:00,10:16:00Z,,,2021,7,31,2021/07/31 10:16 AM UTC,,,,US,Alaska,,,,Nest Mountain,,,,,60.99192,-149.33865,5,,,,,,,,232169195,,M. Torre Jorgenson,2022-01-18 7:25:11,,,79477,,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,sitchensis,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:11:53.950Z,,,,StillImage,TRUE,FALSE,2888754,2888754,6,7707728,220,946,6710,2888741,2888754,Valeriana sitchensis,Valeriana,Valeriana sitchensis Bong.,Valeriana sitchensis,DWC_ARCHIVE,2022-03-15T19:11:53.950Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Valeriana sitchensis Bong.,NE
20,3457163189,,,104993646,,CC_BY_NC_4_0,2022-01-16T05:35:26Z,https://www.inaturalist.org/observations/104993646,,Katharine Andre,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/104993646,104993646,,Katharine Andre,,,PRESENT,,,,,,,,,,,,2021-07-31 14:33:00,14:33:00Z,,,2021,7,31,2021/07/31 2:33 PM UTC,,,,US,Alaska,,,,Bird Peak,,,,,61.00195,-149.28873,6,,,,,,,,231718264,,Katharine Andre,2022-01-15 21:44:43,,,357930,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,nelsoniana,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:58:29.812Z,,,,StillImage,TRUE,FALSE,7177586,7177586,6,7707728,220,7219248,2402,6447095,7177586,Micranthes nelsoniana,Micranthes,Micranthes nelsoniana (D.Don) Small,Micranthes nelsoniana,DWC_ARCHIVE,2022-03-15T18:58:29.812Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Micranthes nelsoniana (D.Don) Small,NE
